DS_CARGO;NR_CANDIDATO;NM_CANDIDATO
DEPUTADO DISTRITAL;55855;SIMONE PEREIRA MAGALHAES
DEPUTADO DISTRITAL;55444;ANTONIO ERIVELTON CARVALHO
DEPUTADO DISTRITAL;55777;IVAN CANDIDO DE MORAES
DEPUTADO DISTRITAL;55678;MARCO ANTNIO DE VICENTE JNIOR
DEPUTADO DISTRITAL;20222;TELMA RUFINO ALVES
DEPUTADO DISTRITAL;33001;FRANCISCO ROKSINAIDY SALES GARO
DEPUTADO DISTRITAL;33777;CRICIA APARECIDA MARTINS DA MATA DE ALMEIDA
DEPUTADO DISTRITAL;33100;RAAD MTANIOS MASSOUH
DEPUTADO DISTRITAL;33111;JORGE DE FARIAS PATROCINIO
DEPUTADO DISTRITAL;33000;EUDES JUDITH MERCES DE OLIVEIRA FELIX
DEPUTADO DISTRITAL;33733;AGENILDO NERI DA SILVA
DEPUTADO DISTRITAL;44180;KAREN TATIANE LANGKAMMER
DEPUTADO DISTRITAL;44222;FABIANA SOARES DA COSTA
DEPUTADO DISTRITAL;44101;SUZANA GOMES LIMA
DEPUTADO DISTRITAL;44044;PEDRO MARCOS DIAS
DEPUTADO DISTRITAL;77122;FLAVIA PEREIRA DA SILVA
DEPUTADO DISTRITAL;77000;BETHANIA KELLY DE ALMEIDA BARBOSA
DEPUTADO DISTRITAL;77077;DIEGO HUDSON RODRIGUES PEREIRA
DEPUTADO DISTRITAL;25123;JEFFERSON ANDERSON FERNANDES SILVA
DEPUTADO DISTRITAL;77456;ANACLETO DE SANTANA SANTOS
DEPUTADO DISTRITAL;25555;ADRIANDESSON SOUSA CASTELO
DEPUTADO DISTRITAL;70234;LAURICIO BORGES MACHADO
DEPUTADO DISTRITAL;70555;EVALDO LOBATO LIMA
DEPUTADO DISTRITAL;15111;FABIO PEREIRA DE SOUSA
DEPUTADO DISTRITAL;15678;CANDIDO TELES DE ARAUJO
DEPUTADO DISTRITAL;15777;JONATAS JOSE SANTOS SILVA
DEPUTADO FEDERAL;3030;CARINE TEIXEIRA MARQUES
DEPUTADO FEDERAL;1020;DAVYS FREDERICO TEIXEIRA LINHARES
DEPUTADO FEDERAL;1050;CELESTINO CHUPEL
DEPUTADO FEDERAL;7722;JOS JAIR MARINHO DE OLIVEIRA
DEPUTADO FEDERAL;2030;MAURICIO ALVES DA SILVA
DEPUTADO FEDERAL;1456;MARTA CLERIA LIMA
DEPUTADO FEDERAL;1441;CAMILA CORRA DE SOUZA
DEPUTADO FEDERAL;1400;CRISTIANO CAIADO DE ACIOLI
DEPUTADO FEDERAL;1230;MARIA FTIMA DE SOUSA
DEPUTADO FEDERAL;2223;MARIA AMELIA CAMPOS DIAS
DEPUTADO FEDERAL;1333;ROSILENE CORREA LIMA
DEPUTADO FEDERAL;1310;AGNELO SANTOS QUEIROZ FILHO
DEPUTADO FEDERAL;3577;WARLEY REIS RIBEIRO DA SILVA
DEPUTADO FEDERAL;4080;JOS GADELHA LOUREIRO
DEPUTADO FEDERAL;2727;ADRIANO DA SILVA CABRAL
DEPUTADO FEDERAL;1599;WASHINGTON STECANELA CERQUEIRA
DEPUTADO FEDERAL;1500;DANIEL XAVIER DONIZET
GOVERNADOR;80;SAMARA MINEIRO OLIVEIRA
DEPUTADO DISTRITAL;18486;ELIANA DE FARIAS
DEPUTADO DISTRITAL;50511;GNANDI MOUSTAFA YANWO
DEPUTADO DISTRITAL;50321;PAULO CESAR BESSA CESRIO
DEPUTADO DISTRITAL;50700;MARIA EDUARDA KRASNY DE SOUZA DA SILVA
